name,developer,publisher,release date,rating,24hour-peak-user,
Vestaria Saga I: War of the Scions,Vestaria Project,DANGEN Entertainment,"December 27, 2019 ??18:00:15 UTC (15 days ago)",??81,96,
Commandos 2: Men of Courage,Pyro Studios,Kalypso Media Digital,"March 15, 2007 ??07:00:00 UTC (13 years ago)",? 81,85,
The Awesome Adventures of Captain Spirit,DONTNOD Entertainment,Square Enix,"June 25, 2018 ??16:00:00 UTC (2 years ago)",? 89,85,
BioShock 2,Store Name BioShock® 2,"Developer
2K Marin","February 9, 2010 ??08:01:00 UTC (10 years ago)",? 87,77,
Panzar,Panzar Studio,OVALIS INVESTMENTS LIMITED,"November 25, 2013 ??15:27:00 UTC (6 years ago)",? 63,85,
LIGHTNING RETURNS: FINAL FANTASY XIII,Store Name LIGHTNING RETURNS?? FINAL FANTASY® XIII,"Developer
Square Enix","December 10, 2015 ??15:34:00 UTC (4 years ago)",? 77,90,
Pine,Twirlbound,Kongregate,"October 10, 2019 ??13:00:41 UTC (3 months ago)",? 76,73,
Mad Games Tycoon,Eggcode,Eggcode,"September 13, 2016 ??09:25:37 UTC (3 years ago)",? 86,73,
Tales of Symphonia,BANDAI NAMCO Entertainment Inc.,BANDAI NAMCO Entertainment,"February 1, 2016 ??23:00:00 UTC (4 years ago)",? 79,81,
Sherlock Holmes: The Devil's Daughter,Frogwares,Bigben Interactive,"June 10, 2016 ??16:56:00 UTC (4 years ago)",? 73,91,
FINAL FANTASY VI,Square Enix,Square Enix,"December 16, 2015 ??17:00:00 UTC (4 years ago)",? 74,82,
ESEA,ESEA,ESEA,"July 8, 2016 ??23:34:00 UTC (4 years ago)",? 67,100,
Dungeon Siege,Gas Powered Games,Square Enix,NULL,? 73,75,
Puyo Puyo Champions - ?�よ?�よ e?�ポ?�ツ,Store Name Puyo Puyo Champions / ?�よ?�よ e?�ポ?�ツ,"Developer
Sonic Team","May 7, 2019 ??03:59:43 UTC (8 months ago)",??75,103,
NASCAR Heat 4,Monster Games,704 Games Company,"September 13, 2019 ??14:13:27 UTC (4 months ago)",??76,109,
Zefira,Mousou Endemic,Kagura Games,NULL,??75,109,
Reign of Darkness,Unorthodox Studio,Unorthodox Studio,"November 20, 2019 ??16:00:47 UTC (2 months ago)",??80,86,
WARMODE,Novalink,Novalink,"September 14, 2019 ??06:51:48 UTC (4 months ago)",? 60,90,
F1 2014,Codemasters,Codemasters,"October 16, 2014 ??23:11:00 UTC (5 years ago)",? 75,74,
The Jackbox Party Pack,"Jackbox Games, Inc.","Jackbox Games, Inc.","November 26, 2014 ??18:51:00 UTC (5 years ago)",? 86,196,
Guild Wars,ArenaNet,"Last Record Update 21 days ago (December 22, 2019 ??03:58:09 UTC)",NULL,71,78,
Starpoint Gemini Warlords,Little Green Men Games,Iceberg Interactive,"May 23, 2017 ??17:01:13 UTC (3 years ago)",? 72,82,
Medal of Honor: Airborne,EA Los Angeles,Electronic Arts,NULL,? 76,82,
We Need To Go Deeper,Deli Interactive LLC,Deli Interactive LLC,"August 1, 2019 ??16:02:44 UTC (5 months ago)",? 84,87,
Dead or School,Store Name DEAD OR SCHOOL,"Developer
Studio Nanafushi","June 3, 2019 ??21:31:41 UTC (7 months ago)",? 84,110,
Unreal Tournament 2004,Store Name Unreal Tournament 2004: Editor's Choice Edition,"Developer
Epic Games, Inc.","March 17, 2008 ??07:00:00 UTC (12 years ago)",? 92,96,
Tomb Raider: Anniversary,Crystal Dynamics,Square Enix,"June 5, 2007 ??17:00:00 UTC (13 years ago)",? 80,76,
Tales of Escape,OnSkull Games,OnSkull Games,"March 16, 2017 ??06:39:00 UTC (3 years ago)",? 70,71,
Egypt: Old Kingdom,Clarus Victoria,Clarus Victoria,"May 24, 2018 ??14:02:19 UTC (2 years ago)",? 81,78,
BATTALION 1944,Bulkhead Interactive,Square Enix,"May 23, 2019 ??16:00:00 UTC (8 months ago)",? 62,101,
Ashen,A44,Annapurna Interactive,"December 9, 2019 ??16:01:33 UTC (about a month ago)",??66,75,
Death Road to Canada,Rocketcat Games,Rocketcat Games,"July 22, 2016 ??05:00:00 UTC (3 years ago)",? 89,121,
Cattails,Store Name Cattails | Become a Cat!,"Developer
Falcon Development","December 1, 2017 ??14:58:08 UTC (2 years ago)",? 89,89,
CODE VEIN Demo,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,"December 17, 2019 ??23:00:29 UTC (25 days ago)",71,94,
Heave Ho,Le Cartel Studio,Devolver Digital,"August 29, 2019 ??13:26:00 UTC (5 months ago)",? 89,117,
Sailaway - The Sailing Simulator,Orbcreation,Orbcreation,"February 27, 2018 ??14:05:21 UTC (2 years ago)",? 63,74,
Reign of Darkness,Unorthodox Studio,Unorthodox Studio,"November 20, 2019 ??16:00:47 UTC (2 months ago)",??80,86,
"Invisible, Inc.",Klei Entertainment,Klei Entertainment,"May 12, 2015 ??16:49:00 UTC (5 years ago)",? 89,70,
Cities in Motion 2,Colossal Order Ltd.,Paradox Interactive,"April 2, 2013 (7 years ago)",? 56,87,
Mad Games Tycoon,Eggcode,Eggcode,"September 13, 2016 ??09:25:37 UTC (3 years ago)",? 86,73,
Defense Grid 2,Store Name DG2: Defense Grid 2,"Developer
Hidden Path Entertainment","September 23, 2014 ??15:11:00 UTC (5 years ago)",? 79,71,
Medal of Honor: Airborne,EA Los Angeles,Electronic Arts,NULL,? 76,82,
Vacation Simulator,Owlchemy Labs,Owlchemy Labs,"April 9, 2019 ??15:00:00 UTC (9 months ago)",??84,74,
NASCAR Heat 4,Monster Games,704 Games Company,"September 13, 2019 ??14:13:27 UTC (4 months ago)",??76,109,
The LEGO® Movie 2 - Videogame,Store Name The LEGO Movie 2 Videogame,"Developer
TT Games","February 26, 2019 ??17:59:00 UTC (11 months ago)",??70,70,
Swag and Sorcery,Lazy Bear Games,tinyBuild,"May 9, 2019 ??16:14:24 UTC (8 months ago)",? 53,71,
SNOW,Poppermost Productions,Crytek,"February 14, 2019 ??15:43:15 UTC (11 months ago)",? 65,69,
King Arthur's Gold,Transhuman Design,Transhuman Design,"November 5, 2013 ??18:12:00 UTC (6 years ago)",? 80,76,
Seek Girl ??DSGame,DSGame,"December 6, 2019 ??06:27:27 UTC (about a month ago)",? 83,100,,
Egypt: Old Kingdom,Clarus Victoria,Clarus Victoria,"May 24, 2018 ??14:02:19 UTC (2 years ago)",? 81,78,
Dungeon Siege 2,Store Name Dungeon Siege II,"Developer
Gas Powered Games","August 16, 2005 (14 years ago)",? 69,71,
Max Payne 2: The Fall of Max Payne,Remedy Entertainment,Rockstar Games,NULL,? 90,69,
Unreal Tournament: Game of the Year Edition,"Epic Games, Inc.","Epic Games, Inc.",NULL,? 92,75,
Arma 3 Tools,Bohemia Interactive,Bohemia Interactive,NULL,??81,70,
RaceRoom Dedicated Server,"Last Record Update 12 days ago (December 30, 2019 ??18:31:19 UTC)","Last Change Number
7457139",NULL,69,75,
Deathgarden: BLOODHARVEST,Store Name Deathgarden?? BLOODHARVEST,"Developer
Behaviour Digital Inc.","August 14, 2018 ??15:04:00 UTC (about a year ago)",? 68,68,
The Awesome Adventures of Captain Spirit,DONTNOD Entertainment,Square Enix,"June 25, 2018 ??16:00:00 UTC (2 years ago)",? 89,85,
Jagged Alliance - Back in Action,Coreplay GmbH,THQ Nordic,"February 9, 2012 ??08:00:00 UTC (8 years ago)",? 66,81,
Red Faction Guerrilla Re-Mars-tered,Volition,THQ Nordic,"July 3, 2018 ??16:48:00 UTC (2 years ago)",? 75,76,
TransOcean: The Shipping Company,Deck13 Hamburg,astragon Entertainment,"September 23, 2014 ??21:59:20 UTC (5 years ago)",? 65,68,
Door Kickers: Action Squad,PixelShard,KillHouse Games,"September 10, 2018 ??17:24:56 UTC (about a year ago)",? 89,98,
Totally Reliable Delivery Service Beta,We're Five Games,tinyBuild,"June 24, 2019 ??17:07:45 UTC (7 months ago)",? 86,68,
Depraved,Evil Bite,Evil Bite,"September 21, 2019 ??09:46:49 UTC (4 months ago)",? 68,71,
FINAL FANTASY IV,Square Enix,Square Enix,"September 17, 2014 ??16:59:00 UTC (5 years ago)",? 79,75,
Amorous,Team Amorous,Snaggletooth Studios,"April 13, 2018 ??16:43:15 UTC (2 years ago)",? 77,109,
Dungeon Siege,Gas Powered Games,Square Enix,NULL,? 73,75,
Dawn of Discovery - Venice,Store Name Dawn of Discovery?? Venice,"Developer
Blue Byte","February 25, 2010 ??17:00:00 UTC (10 years ago)",??81,75,
BIGFOOT,CyberLight Game Studio,CyberLight Game Studio,"January 31, 2017 ??09:19:33 UTC (3 years ago)",? 70,80,
GRANDIA HD Remaster,GAME ARTS,"GungHo Online Entertainment America, Inc.","October 15, 2019 ??17:39:24 UTC (3 months ago)",??83,72,
Picross Touch,Jon Gallant,jgallant,"August 24, 2016 ??11:24:00 UTC (3 years ago)",? 87,85,
Cricket Captain 2019,Childish Things Ltd,Childish Things Ltd,"May 30, 2019 ??11:58:31 UTC (8 months ago)",??57,80,
Batman: The Enemy Within - The Telltale Series,Telltale Games,Telltale Games,"August 8, 2017 ??17:00:00 UTC (2 years ago)",? 84,84,
Throne of Lies® The Online Game of Deceit,Imperium42® Game Studio,Imperium42® Game Studio,"September 29, 2017 ??15:59:35 UTC (2 years ago)",? 79,110,
Caveman World: Mountains of Unga Boonga,GrabTheGames Studios,GrabTheGames,"April 26, 2016 ??18:51:23 UTC (4 years ago)",? 64,67,
Sundered: Eldritch Edition,Store Name Sundered®: Eldritch Edition,"Developer
Thunder Lotus Games","July 28, 2017 ??12:55:00 UTC (2 years ago)",? 79,82,
Revelation Online,Netease Games,MY.GAMES,"August 7, 2018 ??12:02:00 UTC (about a year ago)",??51,69,
Pluto,Pluto VR,Pluto VR,"February 23, 2018 ??00:34:22 UTC (2 years ago)",??35,70,
Railroad Corporation,Corbie Games,Iceberg Interactive,"November 18, 2019 ??17:17:37 UTC (2 months ago)",??68,72,
Zefira,Mousou Endemic,Kagura Games,NULL,??75,109,
Chuzzle Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.","August 30, 2006 ??07:00:00 UTC (13 years ago)",??84,73,
HunieCam Studio,HuniePot,HuniePot,"April 4, 2016 ??16:28:21 UTC (4 years ago)",? 81,100,
AirMech Strike,Carbon Games,Carbon Games,"March 30, 2018 ??21:02:01 UTC (2 years ago)",? 82,95,
Call of Duty: Modern Warfare Remastered,Store Name Call of Duty®: Modern Warfare® Remastered,"Developer
Raven Software","July 27, 2017 (2 years ago)",? 54,87,
Codename CURE,Hoobalugalar_X,Hoobalugalar_X,"October 31, 2017 ??12:05:38 UTC (2 years ago)",? 81,72,
WolfQuest: Anniversary Edition,eduweb,eduweb,"July 26, 2019 ??02:33:06 UTC (6 months ago)",? 85,68,
Mortal Online,Star Vault AB,Star Vault AB,"August 31, 2015 ??22:00:00 UTC (4 years ago)",? 51,94,
Hot Lava,Klei Entertainment,Klei Entertainment,"September 19, 2019 ??16:47:00 UTC (4 months ago)",? 89,73,
God Awe-full Clicker,Mad Labyrinth Studios LLC,Mad Labyrinth Studios LLC,"September 20, 2018 ??03:10:31 UTC (about a year ago)",??62,75,
The Messenger,Sabotage,Devolver Digital,"August 30, 2018 ??15:49:00 UTC (about a year ago)",? 91,72,
Castle Clicker,Store Name Castle Clicker : Building Tycoon,"Developer
Autotelic Games LLC","October 2, 2017 ??21:00:45 UTC (2 years ago)",??61,73,
Danganronpa Another Episode: Ultra Despair Girls,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.","June 27, 2017 ??17:01:36 UTC (3 years ago)",? 85,70,
FORTIFY,RTK Entertainment,RTK Entertainment,"August 10, 2016 ??17:24:00 UTC (3 years ago)",? 89,80,
Bug Fables,Store Name Bug Fables: The Everlasting Sapling,"Developer
Moonsprout Games","November 21, 2019 ??18:00:11 UTC (2 months ago)",? 91,124,
Barony,Turning Wheel LLC,Turning Wheel LLC,"June 23, 2015 ??15:59:47 UTC (5 years ago)",? 86,151,
The Political Process,Verlumino Studios LLC,Verlumino Studios LLC,"November 22, 2019 ??14:01:02 UTC (2 months ago)",??88,91,
Might & Magic: Clash of Heroes,Capybara Games,Ubisoft,NULL,? 84,72,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,Store Name NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,"Developer
CyberConnect2 Co. Ltd.","October 24, 2013 ??22:06:00 UTC (6 years ago)",? 87,78,
Next Day: Survival,SOFF Games,Last Level,"May 21, 2018 ??17:00:41 UTC (2 years ago)",? 63,68,
Vikings - Wolves of Midgard,Games Farm,Kalypso Media Digital,"March 24, 2017 ??16:58:25 UTC (3 years ago)",? 58,75,
Warlock - Master of the Arcane,Ino-Co Plus,Paradox Interactive,NULL,? 82,67,
Clustertruck,Landfall,tinyBuild,"September 27, 2016 ??17:00:00 UTC (3 years ago)",? 87,78,
Total War Battles: KINGDOM,CREATIVE ASSEMBLY,SEGA,"April 9, 2015 ??21:09:00 UTC (5 years ago)",? 50,85,
Cities XXL,Focus Home Interactive,Focus Home Interactive,"February 5, 2015 ??17:00:00 UTC (5 years ago)",? 34,75,
Aokana - Four Rhythms Across the Blue,sprite,NekoNyan Ltd.,"September 27, 2019 ??17:00:42 UTC (4 months ago)",? 91,78,
Tomb Raider: Anniversary,Crystal Dynamics,Square Enix,"June 5, 2007 ??17:00:00 UTC (13 years ago)",? 80,76,
Another Brick in The Mall,The Quadsphere,The Quadsphere,"November 3, 2016 ??16:28:54 UTC (3 years ago)",? 79,74,
Academia : School Simulator,Squeaky Wheel Studio Inc,Squeaky Wheel Studio Inc,"September 8, 2017 ??15:00:00 UTC (2 years ago)",? 72,69,
Patrician IV: Rise of a Dynasty,Gaming Minds Studios,Kalypso Media Digital,"April 11, 2011 ??17:00:00 UTC (9 years ago)",??63,77,
Sid Meier's Civilization IV,Last Known Name Sid Meier's Civilization® IV,"Developer
Firaxis Games",NULL,66,66,
Throne of Lies® The Online Game of Deceit,Imperium42® Game Studio,Imperium42® Game Studio,"September 29, 2017 ??15:59:35 UTC (2 years ago)",? 79,110,
Defense Grid 2,Store Name DG2: Defense Grid 2,"Developer
Hidden Path Entertainment","September 23, 2014 ??15:11:00 UTC (5 years ago)",? 79,71,
Serious Sam HD: The First Encounter,Croteam,Devolver Digital,"November 24, 2009 ??20:46:00 UTC (10 years ago)",? 90,75,
Stoneshard: Prologue,Ink Stains Games,HypeTrain Digital,"June 5, 2018 ??17:42:29 UTC (2 years ago)",? 86,86,
X-COM: UFO Defense,"MicroProse Software, Inc",2K,NULL,? 89,82,
FINAL FANTASY IV,Square Enix,Square Enix,"September 17, 2014 ??16:59:00 UTC (5 years ago)",? 79,75,
My Free Zoo,upjers,upjers,"November 28, 2017 ??12:13:27 UTC (2 years ago)",??50,65,
Syrian Warfare,Cats Who Play,Cats Who Play,"February 21, 2017 ??08:44:00 UTC (3 years ago)",? 82,72,
Another Brick in The Mall,The Quadsphere,The Quadsphere,"November 3, 2016 ??16:28:54 UTC (3 years ago)",? 79,74,
They Can't Stop All Of Us,Whiteout Studios,Whiteout Studios,"November 1, 2019 ??14:33:33 UTC (2 months ago)",? 76,71,
Cricket Captain 2019,Childish Things Ltd,Childish Things Ltd,"May 30, 2019 ??11:58:31 UTC (8 months ago)",??57,80,
Patrician IV: Rise of a Dynasty,Gaming Minds Studios,Kalypso Media Digital,"April 11, 2011 ??17:00:00 UTC (9 years ago)",??63,77,
Aimtastic,Victor Möller,Pixel Pointer Studios,"January 28, 2018 ??20:29:07 UTC (2 years ago)",? 89,70,
Dead Island Riptide,Techland,Deep Silver,NULL,64,66,
How to Survive,Eko Software,505 Games,"October 23, 2013 ??16:26:00 UTC (6 years ago)",? 80,67,
Grand Ages: Medieval,Gaming Minds Studios,Kalypso Media Digital,"September 25, 2015 ??14:21:40 UTC (4 years ago)",? 45,64,
Vikings - Wolves of Midgard,Games Farm,Kalypso Media Digital,"March 24, 2017 ??16:58:25 UTC (3 years ago)",? 58,75,
NEKOPARA Vol. 3,NEKO WORKs,Sekai Project,"May 25, 2017 ??14:58:28 UTC (3 years ago)",? 94,78,
Bridge Constructor Portal,ClockStone,Headup,"December 20, 2017 ??08:50:00 UTC (2 years ago)",? 87,68,
WolfQuest: Anniversary Edition,eduweb,eduweb,"July 26, 2019 ??02:33:06 UTC (6 months ago)",? 85,68,
Smashbox Arena,"BigBox VR, Inc.","BigBox VR, Inc.","December 7, 2016 ??18:58:00 UTC (3 years ago)",??87,91,
Ashen,A44,Annapurna Interactive,"December 9, 2019 ??16:01:33 UTC (about a month ago)",??66,75,
Slapshot,Erveon,Erveon,"March 8, 2019 ??22:00:34 UTC (10 months ago)",? 80,116,
Tomb Raider: Anniversary,Crystal Dynamics,Square Enix,"June 5, 2007 ??17:00:00 UTC (13 years ago)",? 80,76,
AI War 2,"Arcen Games, LLC","Arcen Games, LLC","October 22, 2019 ??14:59:50 UTC (3 months ago)",? 86,64,
The LEGO® Movie 2 - Videogame,Store Name The LEGO Movie 2 Videogame,"Developer
TT Games","February 26, 2019 ??17:59:00 UTC (11 months ago)",??70,70,
Max Payne 2: The Fall of Max Payne,Remedy Entertainment,Rockstar Games,NULL,? 90,69,
Master Of Pottery,AZGames,AZGames,"November 11, 2019 ??11:00:19 UTC (2 months ago)",??89,90,
eFootball PES 2020 DEMO,Konami Digital Entertainment,Konami Digital Entertainment,"July 30, 2019 ??16:59:00 UTC (6 months ago)",63,65,
Two Worlds II,Store Name Two Worlds II HD,"Developer
Reality Pump Studios","February 3, 2011 ??22:24:00 UTC (9 years ago)",? 60,74,
The Dark Pictures Anthology: Man of Medan,Supermassive Games,BANDAI NAMCO Entertainment Europe,"August 29, 2019 ??21:52:00 UTC (4 months ago)",? 69,63,
Aven Colony,Mothership Entertainment LLC,Team17 Digital Ltd,"July 25, 2017 ??16:00:00 UTC (2 years ago)",? 71,63,
Touhou Luna Nights,Vaka Game Magazine,Why so serious?,"February 26, 2019 ??01:02:00 UTC (11 months ago)",? 94,70,
Door Kickers: Action Squad,PixelShard,KillHouse Games,"September 10, 2018 ??17:24:56 UTC (about a year ago)",? 89,98,
DATE A LIVE: Rio Reincarnation,Idea Factory,Idea Factory International,"July 23, 2019 ??18:01:06 UTC (6 months ago)",? 87,79,
Sundered: Eldritch Edition,Store Name Sundered®: Eldritch Edition,"Developer
Thunder Lotus Games","July 28, 2017 ??12:55:00 UTC (2 years ago)",? 79,82,
Founders' Fortune,Oachkatzlschwoaf Interactive,Oachkatzlschwoaf Interactive,"July 19, 2019 ??16:00:00 UTC (6 months ago)",??85,69,
Cat Quest II,The Gentlebros,PQube Limited,"September 24, 2019 ??09:06:09 UTC (4 months ago)",? 91,71,
Passpartout: The Starving Artist,Flamebait Games,Flamebait Games,"June 6, 2017 ??16:00:49 UTC (3 years ago)",? 76,67,
Lost Lands: Mahjong,FIVE-BN GAMES,FIVE-BN GAMES,"March 14, 2016 ??09:44:05 UTC (4 years ago)",? 88,71,
Autobahn Police Simulator 2,Z-Software,Aerosoft GmbH,"December 7, 2017 ??08:00:42 UTC (2 years ago)",??44,63,
Driver Booster 5 for Steam,IObit,IObit,"November 8, 2017 ??01:59:00 UTC (2 years ago)",? 73,65,
Shadow Warrior,Flying Wild Hog,Devolver Digital,"September 26, 2013 ??13:00:00 UTC (6 years ago)",? 90,70,
Firewatch,Campo Santo,Panic,"February 9, 2016 ??17:54:48 UTC (4 years ago)",? 84,65,
The Bureau: XCOM Declassified,2K Marin,2K,"August 20, 2013 (6 years ago)",? 68,65,
F1 2016,Codemasters,Codemasters,"September 7, 2016 ??21:48:57 UTC (3 years ago)",? 81,74,
Material Girl,Dieselmine,Paradise Project,"June 20, 2017 ??08:44:00 UTC (3 years ago)",? 88,78,
Cities XXL,Focus Home Interactive,Focus Home Interactive,"February 5, 2015 ??17:00:00 UTC (5 years ago)",? 34,75,
Codename Gordon,Nuclear Vision,Valve,NULL,62,65,
Maelstrom,"Gunpowder Games, Inc.","Gunpowder Games, Inc.","September 20, 2019 ??17:12:45 UTC (4 months ago)",? 79,82,
Codename CURE,Hoobalugalar_X,Hoobalugalar_X,"October 31, 2017 ??12:05:38 UTC (2 years ago)",? 81,72,
Never Split the Party,Legend Studio,Legend Studio,"May 3, 2019 ??15:08:13 UTC (8 months ago)",? 73,81,
Timeflow,Store Name Timeflow ??Time and Money Simulator,"Developer
Roman Makhmutov","January 19, 2019 ??05:28:40 UTC (12 months ago)",??84,62,
The Room,Fireproof Games,Fireproof Games,"July 28, 2014 ??12:24:00 UTC (5 years ago)",? 94,76,
Puyo Puyo Champions - ?�よ?�よ e?�ポ?�ツ,Store Name Puyo Puyo Champions / ?�よ?�よ e?�ポ?�ツ,"Developer
Sonic Team","May 7, 2019 ??03:59:43 UTC (8 months ago)",??75,103,
MMORPG Tycoon 2,VectorStorm Pty Ltd,VectorStorm Pty Ltd,"January 6, 2020 ??23:04:27 UTC (5 days ago)",??79,78,
F.E.A.R. 3,Day 1 Studios,Warner Bros. Interactive Entertainment,NULL,? 71,67,
Clustertruck,Landfall,tinyBuild,"September 27, 2016 ??17:00:00 UTC (3 years ago)",? 87,78,
NEKOPARA Vol. 3,NEKO WORKs,Sekai Project,"May 25, 2017 ??14:58:28 UTC (3 years ago)",? 94,78,
BlackShot: Mercenary Warfare FPS,Vertigo Games America,Papaya Play,"June 1, 2016 ??04:46:00 UTC (4 years ago)",? 52,71,
Aven Colony,Mothership Entertainment LLC,Team17 Digital Ltd,"July 25, 2017 ??16:00:00 UTC (2 years ago)",? 71,63,
Ballistic Overkill,Aquiris Game Studio,Aquiris Game Studio,"March 28, 2017 ??19:42:00 UTC (3 years ago)",? 73,61,
"Warhammer 40,000: Dawn of War - Winter Assault","Store Name Warhammer® 40,000: Dawn of War® ??Winter Assault","Developer
Relic Entertainment","August 7, 2007 ??07:00:00 UTC (12 years ago)",? 84,61,
Ashen,A44,Annapurna Interactive,"December 9, 2019 ??16:01:33 UTC (about a month ago)",??66,75,
Just Cause??3: Multiplayer Mod,nanos GbR,nanos GbR,"July 20, 2017 ??15:57:00 UTC (2 years ago)",? 71,73,
MINDNIGHT,No Moon,No Moon,"August 4, 2017 ??16:01:00 UTC (2 years ago)",? 82,121,
Coloring Game: Little City,L. Stotch,L. Stotch,"August 16, 2019 ??10:56:12 UTC (5 months ago)",? 88,61,
Quake II,Store Name QUAKE II,"Developer
id Software","August 3, 2007 ??23:30:00 UTC (12 years ago)",? 88,63,
Stellar Tactics,Maverick Games,Maverick Games,"September 23, 2016 ??03:50:44 UTC (3 years ago)",? 82,66,
Warlock - Master of the Arcane,Ino-Co Plus,Paradox Interactive,NULL,? 82,67,
Obduction,Cyan Inc.,Cyan Inc.,"August 24, 2016 ??14:03:00 UTC (3 years ago)",? 77,65,
Shortest Trip to Earth,Interactive Fate,Iceberg Interactive,"August 15, 2019 ??15:46:01 UTC (5 months ago)",? 75,60,
Touhou Luna Nights,Vaka Game Magazine,Why so serious?,"February 26, 2019 ??01:02:00 UTC (11 months ago)",? 94,70,
Door Kickers: Action Squad,PixelShard,KillHouse Games,"September 10, 2018 ??17:24:56 UTC (about a year ago)",? 89,98,
Hot Lava,Klei Entertainment,Klei Entertainment,"September 19, 2019 ??16:47:00 UTC (4 months ago)",? 89,73,
Totally Reliable Delivery Service Beta,We're Five Games,tinyBuild,"June 24, 2019 ??17:07:45 UTC (7 months ago)",? 86,70,
Max Payne,Remedy Entertainment,Rockstar Games,NULL,? 86,74,
